gender,readfk,mathfk,readsk,mathsk,readff,mathff,readsf,mathsf
0,34.73,21.04,37.56,33.68,41.79,28.99,52.03,40.84
1,36.11,26.18,41.02,34.4,42.07,39.42,64.12,66.3
0,40.23,20.27,38.65,28.03,45.87,34.66,66.17,40.86
1,25.63,13.33,35.37,23.61,29.27,29.87,60.01,51.57
1,27.51,19.83,37.09,28.14,47.22,31.62,57.1,45.58
1,49.83,46.38,78.87,58.69,76.82,57.3,126.86,89.01
1,49.61,43.91,57.05,57.15,76.7,82.48,124.81,72.7
0,40.34,29.05,44.33,32.47,38.75,34.43,66.12,56.86
0,29.47,21.88,42.85,34.47,43.06,35.8,86.92,53.84
1,27.63,16.91,30.04,35.1,37.08,32.53,41.37,42.23
0,51.52,47.72,86.53,53.84,105.37,100.84,126.85,92.33
1,49.48,34.71,58.05,46.93,64.71,53.43,97.16,71.97
1,30.79,28.82,40.85,36.11,52.35,45.33,88.31,64.53
0,59.67,47.11,76.44,73.5,78.05,101.45,89.84,106.94
0,39.14,22.45,49.3,33.79,59.22,42.39,101.05,49.94
0,41.46,30.8,51.79,46.98,59.68,59.72,90.96,67.39
1,33.56,28.51,46.94,37.59,52.19,49.6,106.36,70.35
0,42.69,29.19,42.28,46.16,53.98,52.9,65.82,55.42
0,27.11,16.15,35.34,20.46,45.89,30.9,62.45,53.76
1,25.95,14.34,27.95,21.06,39.41,21.95,67.47,41.53
0,38.5,20.68,39.28,28.86,58.39,34.47,61.17,51.4
1,30.91,25.37,43.1,36.75,37.63,35.74,68.32,54.72
0,29.94,29.48,43.29,46.75,41.8,50.12,53.8,80.93
0,29.44,23.87,36.59,20.36,30.38,22.53,51.98,39.14
0,27.56,22.37,31.75,38.04,40.37,43.86,64.85,50.49
0,37.8,25.84,42.03,28.4,50.27,43.05,72.57,55.42
1,32.96,26.34,48.19,39.26,51.89,47.4,78.07,64.1
0,30.07,24.69,39.71,36.16,48.97,38.92,58.06,43.29
1,32.24,26.29,42.22,30.04,43.74,30.58,66.94,50.73
0,35.12,28.62,42.01,45.61,45.19,55.48,76.26,74.4
0,34.51,27.38,42.83,35.46,48.1,40.27,63.37,50.06
1,29.6,18.65,39.5,21.53,47.15,26.02,61.19,52.85
1,30.93,25.32,42.83,33.35,50.67,52.08,77.98,80.2
0,34.88,28.46,41.38,39.94,57.49,47.45,94.85,72.41
1,30.2,21.56,35.64,31.37,42.04,28.54,56.75,43.12
1,22.23,12.62,26.3,12.83,32.62,16.14,44.19,25.73
0,27.89,13.93,30.48,17.41,31.55,18.28,48.08,27.27
