CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,Reading,ESCS,gender,immig2
USA,5,139,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,-0.8077,-0.2743,-0.9276,558.66,1.9521,0,0
USA,6,166,2,2,2,2,3,2,3,2,2,3,2,4,4,4,3,3,4,2,3,2,2,3,4,4,0.7826,0.8778,0.9843,368.03,0.0099,1,0
USA,6,162,1,3,4,1,3,1,3,2,2,4,3,3,2,3,3,2,3,3,2,1,1,4,1,2,-0.5485,-0.6208,0.395,624.3,0.0798,1,0
USA,6,165,2,1,3,2,1,2,1,2,2,3,1,2,4,4,2,3,3,3,3,4,1,4,1,4,1.6056,-0.6208,0.6832,606.43,0.6421,1,0
USA,6,184,2,1,1,2,1,2,1,2,1,1,1,2,3,3,1,3,4,3,2,1,1,3,2,2,-0.2945,-1.0185,0.395,443.1,-0.916,1,0
USA,6,183,2,1,2,2,1,2,3,1,2,2,1,2,2,2,3,4,2,2,2,2,2,2,2,1,-1.3664,0.0385,0.1036,439.28,0.8133,1,0
USA,6,189,1,3,3,1,4,1,4,2,1,3,4,2,2,2,3,3,3,4,3,4,4,3,4,4,0.4861,1.4986,0.395,621.2,0.4759,1,0
USA,6,188,2,2,2,1,3,2,3,2,1,1,2,2,3,3,1,2,3,1,1,2,2,4,2,2,-0.0411,-1.0185,-0.5436,673.08,0.3976,1,0
USA,6,175,1,2,2,2,2,2,4,1,2,3,3,4,4,4,4,2,4,4,4,2,4,4,4,4,1.1341,2.7571,1.3297,372.4,-0.38,1,0
USA,6,169,2,3,2,2,3,2,3,2,2,3,3,2,2,3,4,3,3,4,3,4,3,4,3,4,0.7826,1.1676,0.6832,515.55,-0.2399,1,0
USA,6,173,1,1,1,2,1,2,2,2,1,2,2,4,3,2,1,1,2,2,1,3,1,3,2,2,-0.2945,-1.5227,-0.2055,561.62,-0.9343,1,1
USA,6,161,2,1,3,2,1,2,1,2,2,2,1,2,3,3,3,3,3,3,2,2,3,3,3,3,-0.0411,0.6034,0.395,409.02,0.0882,1,0
USA,6,159,2,3,3,2,2,2,3,2,1,3,3,2,2,3,3,2,2,2,2,1,2,2,2,2,-1.3664,0.0385,-0.2055,693.02,1.1403,1,0
USA,6,181,2,2,1,2,2,2,3,2,2,3,3,2,2,3,3,1,1,1,2,2,3,3,2,1,-1.3664,0.3277,-0.9276,486,-0.5225,1,0
USA,6,185,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,2,3,4,1,3,3,3,2,4,0.4861,0.0385,0.395,582.51,0.9453,1,0
USA,6,163,2,2,1,2,1,2,3,2,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,-0.2945,0.6034,0.1036,550.58,0.1329,1,0
