CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,Reading,ESCS,gender,immig2
USA,2,56,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,508.07,0.4401,0,0
USA,2,64,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,3,3,2,3,2,2,-0.0411,0.3277,-0.2055,521.22,0.1623,0,0
USA,2,38,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,425.58,0.9649,0,0
USA,2,47,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,337.23,0.1669,0,0
USA,2,48,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,3,3,3,3,2,-0.8077,0.0385,-1.3817,488.43,-0.6703,0,0
USA,2,53,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,4,3,1,3,2,4,2,2,0.4861,-1.0185,-0.5436,517.93,-0.4485,0,0
USA,2,28,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,525.07,1.2389,0,0
USA,2,58,1,1,1,1,1,2,3,2,1,1,1,4,1,3,1,1,4,3,1,3,3,4,1,1,-0.2945,-1.0185,0.395,459.57,-0.7478,0,0
USA,2,61,1,1,1,2,1,1,1,1,1,1,1,4,4,3,2,1,3,2,2,3,1,3,2,2,0.2159,-0.6208,0.1036,584.15,-0.3902,0,0
USA,2,65,1,1,1,1,1,2,3,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,-1.6827,-2.4098,-1.3817,533.8,-1.0216,0,1
USA,2,60,1,1,1,2,1,1,1,1,1,1,1,3,4,4,1,2,4,4,1,3,1,4,1,4,1.6056,-2.4098,0.9843,498.93,0.3565,0,0
USA,2,54,2,2,2,1,3,1,2,2,1,3,1,4,3,4,2,1,3,4,1,3,2,4,2,4,0.7826,-0.6208,0.9843,604.91,0.7869,0,1
USA,2,51,1,2,1,2,1,2,1,2,1,1,1,2,2,3,2,2,2,4,1,1,1,1,1,1,-2.0532,-1.5227,0.395,359.76,-0.0984,0,0
USA,2,44,2,3,3,2,3,1,2,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,442.49,0.3053,0,0
USA,2,62,1,1,1,1,2,1,1,1,1,1,1,3,2,4,3,2,3,2,2,2,2,3,3,2,-0.5485,0.3277,0.395,513.84,-0.4454,0,1
USA,2,50,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,3,1,2,-0.8077,-1.5227,-1.3817,547.35,1.5035,0,0
USA,2,35,1,1,2,2,1,1,3,2,2,3,2,2,3,2,3,1,3,2,2,2,3,3,3,2,-0.2945,0.6034,-0.9276,465.9,0.4109,0,0
USA,2,42,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,,2,2,2,2,2,2,-1.6827,-0.2743,-1.0106,393.35,-0.1935,0,0
USA,2,37,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,-1.3664,-0.2743,-0.9276,385.49,1.5264,0,0
USA,2,49,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,354.63,-0.9442,0,0
USA,2,46,2,3,3,2,3,1,3,2,2,2,2,2,3,3,4,2,3,2,2,3,4,3,4,3,0.2159,1.4986,-0.2055,551.2,0.053,0,0
USA,2,30,2,3,1,1,4,2,1,2,1,1,1,,,,,,,,,,,,,,,,,459.17,0.2164,0,1
USA,2,33,2,2,2,2,1,2,2,2,1,4,2,1,2,2,1,1,3,1,1,2,1,2,1,2,-0.8077,-2.4098,-1.9702,574.21,-0.6851,0,0
USA,2,43,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,399.28,-0.8599,0,0
USA,2,27,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,451.55,-0.7231,0,0
USA,3,96,2,2,2,1,2,1,1,1,1,4,2,2,2,2,2,3,2,2,2,2,3,3,1,2,-0.8077,-0.2743,-0.2055,326,0.3581,1,0
USA,3,80,1,1,1,2,2,1,1,2,1,1,1,2,2,3,2,2,2,2,2,1,1,4,4,2,-0.8077,0.0385,-0.2055,385.5,-0.2632,1,0
USA,3,95,2,1,2,2,1,2,2,2,2,3,2,3,2,3,2,1,2,4,1,2,2,2,2,1,-1.3664,-0.6208,0.395,527.54,0.6338,1,0
USA,3,67,2,1,3,2,2,2,3,2,2,3,3,2,2,1,1,1,2,2,2,2,1,1,1,2,-1.3664,-1.5227,-1.3817,380.34,-0.9079,1,0
USA,3,98,2,1,3,1,2,2,2,2,2,3,2,2,4,4,2,1,4,1,3,3,1,4,3,3,1.1341,0.0385,-0.5436,516.1,-0.3423,1,0
USA,3,102,2,3,2,2,2,1,3,2,2,2,1,4,4,4,4,1,2,4,2,4,3,4,3,4,1.1341,0.8778,0.9843,411.24,-1.0171,1,1
USA,3,72,2,1,2,1,2,2,2,2,1,2,2,4,4,4,4,3,3,3,3,3,3,3,3,2,0.2159,1.1676,1.3297,412.75,0.7649,1,0
USA,3,101,2,2,1,2,1,1,1,2,2,1,1,2,1,3,1,2,2,1,1,3,1,2,1,1,-1.3664,-2.4098,-0.5436,487.74,-0.2991,1,0
USA,3,79,2,1,1,2,2,2,3,1,2,1,2,3,3,3,3,1,1,3,2,3,1,3,4,4,-0.0411,0.3277,0.1036,605.31,1.5792,0,0
USA,3,71,2,1,2,2,4,2,3,1,1,1,1,4,2,3,1,3,4,3,2,3,1,3,2,1,-0.2945,-1.0185,0.9843,464.94,0.3145,1,0
USA,3,87,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,2,2,3,4,2,3,0.2159,0.0385,-0.2055,611.03,1.1403,1,0
USA,3,99,2,3,3,1,3,2,4,2,2,3,4,3,3,3,4,4,3,3,2,4,3,3,2,3,0.4861,0.6034,0.9843,493.22,0.8492,1,0
USA,3,94,2,2,2,2,2,2,3,2,1,4,1,3,4,3,3,2,3,2,3,4,3,4,2,4,1.6056,0.6034,0.1036,568.61,1.5264,1,0
USA,3,85,1,4,4,2,3,1,4,2,1,4,4,2,3,2,4,1,3,3,4,4,4,4,3,3,0.7826,1.9347,-0.5436,497.51,0.8428,1,0
USA,3,93,2,1,2,1,2,1,3,2,2,2,2,4,4,4,3,1,3,2,2,4,4,4,3,2,0.7826,0.8778,0.395,545.73,0.6658,1,0
USA,3,74,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,-0.8077,-0.2743,0.395,597.53,1.2885,1,0
USA,3,68,2,2,2,2,1,2,3,2,2,2,2,2,4,3,2,1,3,2,1,3,1,2,2,3,0.2159,-1.0185,-0.5436,480.51,-0.3796,1,1
USA,3,90,1,4,3,1,2,1,1,1,1,2,1,2,4,1,4,1,1,1,1,4,4,3,1,4,0.4861,0.3277,-1.9702,669.13,1.3149,0,0
USA,3,86,2,1,1,2,2,1,1,2,2,1,1,2,3,4,2,1,2,2,1,2,3,3,1,1,-0.8077,-0.6208,-0.2055,361.28,-0.7472,0,0
USA,3,77,2,3,3,1,3,1,3,1,1,3,3,1,2,2,3,3,3,3,3,3,4,4,4,4,0.4861,1.4986,-0.2055,580.37,1.9521,1,0
USA,3,75,2,2,1,2,1,2,2,2,2,3,2,3,3,3,2,3,2,2,2,3,3,2,2,2,-0.5485,0.0385,0.395,363.77,-0.8085,0,0
USA,3,73,1,3,3,1,4,1,4,1,1,4,3,4,3,3,4,4,3,3,1,2,3,4,2,2,-0.0411,0.3277,1.3297,430.47,-0.4736,0,0
USA,3,82,1,2,2,2,1,2,2,2,1,1,1,2,3,3,2,1,2,1,1,2,1,3,2,2,-0.5485,-1.0185,-0.9276,509.03,-1.9724,0,
USA,3,78,1,3,2,1,1,1,4,1,1,2,2,1,4,3,4,2,4,3,3,3,3,4,3,4,1.6056,1.1676,-0.2055,507.67,1.6644,0,0
USA,3,81,1,3,4,2,3,1,4,2,2,4,3,4,4,4,4,2,4,1,1,3,2,4,2,3,1.1341,0.0385,0.395,516.41,1.2915,0,0
USA,3,92,2,3,3,2,3,2,4,2,2,2,1,2,3,2,1,4,2,4,2,2,3,2,3,1,-1.0786,0.0385,0.6832,482.5,0.0942,0,0
USA,3,97,1,1,2,1,1,2,1,1,2,2,3,4,4,4,4,2,2,4,2,3,1,3,3,4,0.4861,0.3277,1.3297,406.74,0.1663,0,0
USA,3,66,2,2,3,2,3,2,2,2,2,3,2,4,3,3,3,2,3,2,2,4,3,4,2,4,1.1341,0.3277,0.395,622.31,1.6083,0,0
USA,3,76,1,4,3,2,3,1,4,1,1,3,3,2,3,2,2,2,3,2,1,3,1,3,1,2,-0.0411,-1.5227,-0.5436,464.14,1.7376,0,0
USA,3,89,2,2,2,2,2,2,3,2,2,2,2,2,3,4,2,3,3,4,4,3,2,3,3,2,-0.0411,0.6034,0.9843,441.53,0.7417,0,1
USA,3,84,2,2,3,2,2,2,2,2,2,3,2,3,3,2,4,3,4,3,4,3,4,4,4,3,0.7826,2.7571,0.395,544.87,1.7376,0,0
USA,3,83,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,415.56,-1.0216,0,0
USA,3,91,1,3,2,2,,,3,1,2,2,2,2,2,2,2,3,3,1,2,2,3,1,2,2,-1.0786,0.0385,-0.5436,317.11,-0.5711,0,0
USA,3,69,2,3,2,1,4,1,4,2,2,2,2,2,3,2,2,1,3,3,2,3,1,2,2,3,-0.0411,-0.6208,-0.5436,628.48,2.028,0,0
USA,3,88,1,1,1,1,1,1,1,1,2,1,1,3,2,4,3,2,2,3,2,2,2,4,2,1,-0.8077,0.0385,0.6832,438.73,0.7591,0,0
USA,3,70,2,2,3,1,1,1,3,2,1,3,3,4,4,4,3,3,4,3,2,3,2,4,2,4,1.6056,0.0385,1.3297,467.1,0.058,0,0
USA,3,100,1,2,1,1,3,1,1,1,1,1,1,4,3,3,3,3,3,2,2,2,2,2,3,3,-0.2945,0.3277,0.6832,488.75,-0.8923,0,0
USA,4,116,2,3,3,2,3,2,4,1,2,3,3,3,3,2,3,1,2,3,4,4,2,3,3,2,-0.0411,0.8778,-0.2055,567.74,0.4732,1,0
USA,4,109,,,,,,,,,,,,4,4,4,2,4,4,4,2,3,4,4,1,4,1.6056,0.0385,2.6934,354.6,0.1108,1,0
USA,4,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.28,,1,
USA,4,117,2,2,2,2,2,2,3,2,2,2,3,3,4,4,3,4,3,4,2,2,2,4,2,3,0.4861,0.0385,1.7893,594.83,1.3971,1,0
USA,4,114,1,4,3,2,4,1,3,1,1,3,4,2,3,2,2,2,2,3,1,1,1,2,2,3,-0.8077,-1.0185,-0.2055,565.75,1.5264,1,0
USA,4,104,1,4,3,2,3,1,4,1,1,3,4,4,3,3,2,2,3,2,1,2,2,3,2,2,-0.2945,-0.6208,0.395,700.64,0.3691,1,0
USA,4,119,2,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,3,1,3,1,1,-0.2945,-1.0185,0.6832,484.41,1.6617,1,0
USA,4,105,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,1,3,2,3,2,3,2,3,-0.2945,0.0385,0.395,536.92,-0.784,1,0
USA,4,110,2,2,2,2,2,2,2,2,1,2,2,1,3,3,1,1,2,2,1,1,1,1,1,1,-1.6827,-2.4098,-0.9276,446.75,-0.7214,1,0
USA,4,121,1,3,3,2,4,1,4,2,1,3,4,1,3,2,2,1,4,3,2,2,1,3,3,4,0.4861,-0.2743,-0.9276,716.37,1.2935,1,0
USA,4,113,1,2,1,1,2,1,4,1,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1.6056,2.7571,2.6934,512.48,-0.6963,0,0
