IDSCHOOL,ITSEX,ASRREA01,ASBG03,ASDG05S,ASBG05D,ASBG05E,ASDHOCCP,ASBH20A,ASBH20B,ASDHEDUP,ASBH17A,ASBH17B,ASDHAPS,ASBH04A,ASBH04B,ASBGHRL,ASBG04,ASBH15A,ASBHPLR,ASBH12,ASBH13A,ASBH13B,ASBH13C,ASBH13D,ASBH13E,ASBH13F,ASBH13G,ASBHELA,ASBH02A,ASBH02B,ASBH02C,ASBH02D,ASBH02E,ASBH02F,ASBH02G,ASBH02H,ASBH02I,ASBHELT,ASBH06A,ASBH06B,ASBH06C,ASBH06D,ASBH06E,ACDG03,ACBG03A,ACBG03B,ACDGELS,ACBG16A,ACBG16B,ACBG16C,ACBG16D,ACBG16E,ACDGCMP,ACBG02,ACBG07,ACDG06HY,ACBG06BA,ACBG06BB,ACBGRRS,ACBG10AA,ACBG10AB,ACBG10AC,ACBG10AD,ACBG10AE,ACBG10AF,ACBG10AG,ACBG10BA,ACBG10BB,ACBG10BC,ACBG10BD,ACBGEAS,ACBG12B,ACBG12C,ACBG12D,ACBG12E,ACBG12H,ACBGRSS,ACBG17D,ACBG17E,ACBG17F,ACBG17G,ACBG17H,ACBG17I,ACBG17J,ACBG17K,ACBG17L,ACBG17M,ACBG17N,ACBGDAS,ACBG13AA,ACBG13AB,ACBG13AC,ACBG13AD,ACBG13AE,ACBG13AF,ACBG13AG,ACBG13AH,ACBG13AI,ACBG13AJ,ASBGSBS,ASBG09A,ASBG09B,ASBG09C,ASBG09D,ASBG09E,ASBG09F,ASBGSLR,ASBR02A,ASBR02B,ASBR07A,ASBR07B,ASBR07C,ASBR07D,ASBR07E,ASBR07F,ASBGSMR,ASBR09A,ASBR09B,ASBR09C,ASBR09D,ASBR09E,ASBR09F,ASBGSCR,ASBR08A,ASBR08B,ASBR08C,ASBR08D,ASBR08E,ASBR08F,ASBR08G,ASBGERL,ASBR05A,ASBR05B,ASBR05C,ASBR05D,ASBR05E,ASBR05F,ASBR05G,ASBHENA,ASBH02J,ASBH02K,ASBH02L,ASBH02M,ASBH02N,ASBH02O,ASBHENT,ASBH07A,ASBH07B,ASBH07C,ASBH07D,ASBH07E,ASBH07F
1,2,537.66952,2,2,1,1,1,3,10,4,6,6,3,1,2,10.64774,2,3,8.06204,3,2,3,2,2,2,2,2,11.3162,2,3,2,3,3,2,3,3,3,11.03019,3,3,3,4,4,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.75018,1,3,1,1,2,2,8.12257,3,4,4,3,2,3,2,2,7.93542,3,3,3,3,3,4,8.09145,3,3,3,3,3,3,3,9.45792,3,3,4,2,4,3,3,9.69545,3,3,2,2,2,2,12.53462,4,4,4,4,999999,1
1,2,628.84666,3,2,1,1,3,4,3,4,4,5,3,1,2,11.0313,3,5,9.73209,3,1,3,3,2,3,3,4,12.92078,3,3,3,3,3,3,3,2,3,11.54563,4,3,3,4,4,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,13.28372,1,1,1,1,1,1,7.17173,2,4,1,1,1,4,1,1,6.78134,1,4,3,3,3,1,10.64149,4,4,1,1,1,4,1,9.45792,3,3,4,2,4,3,3,13.6221,3,3,3,3,3,3,9.18672,3,4,4,4,0,0
1,1,534.25421,3,1,1,0,7,12,12,4,4,6,999999,1,999999,9.71054,3,2,9.12366,3,3,3,3,3,4,4,3,10.75483,2,2,3,3,3,2,3,3,2,10.56229,4,3,2,4,3,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,13.28372,1,1,1,1,1,1,8.12257,1,4,2,1,3,3,2,3,8.78118,3,4,3,4,4,3,8.98289,3,3,1,3,3,2,1,9.94478,3,3,4,1,4,3,3,11.93921,2,3,3,3,3,3,12.59388,4,4,4,4,1,1
1,1,603.17287,3,2,1,1,1,9,10,5,7,8,4,1,5,11.95416,4,3,10.07944,4,1,3,3,2,3,3,4,9.34812,2,2,3,2,3,2,1,2,3,8.08185,3,2,1,2,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.75018,2,1,2,1,3,1,8.57567,3,4,3,2,3,3,2,3,7.31395,2,2,4,3,3,3,10.64149,4,4,1,2,1,3,1,9.94478,3,3,4,2,4,4,3,9.1188,3,2,3,2,2,1,9.18672,3,3,4,4,1,0
1,2,497.00313,2,2,1,1,3,4,7,3,4,4,2,1,1,9.59128,1,4,9.73209,4,2,4,3,2,3,3,3,8.05868,2,3,2,2,2,1,2,1,2,10.56229,3,4,4,2,3,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,10.14726,2,1,1,2,2,1,9.05518,3,4,1,1,3,2,2,3,7.93542,3,4,2,2,4,4,7.8094,3,2,2,2,3,2,2,8.29776,3,3,3,2,2,3,3,7.43006,2,1,2,1,2,2,7.50029,3,2,4,2,0,0
1,2,563.28231,3,1,0,1,3,4,4,5,7,7,2,1,1,10.29048,2,4,11.59895,4,2,3,4,1,4,4,4,11.3162,3,3,2,2,3,3,2,3,3,8.49059,3,2,1,3,2,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,13.28372,1,1,1,1,1,1,9.59084,1,4,4,4,4,2,4,4,8.31489,2,4,4,4,2,4,9.6967,4,4,2,4,4,4,2,7.11289,2,1,1,1,4,2,2,10.31064,2,2,2,3,3,3,9.18672,3,4,4,4,0,0
1,2,537.32724,3,2,1,1,1,10,10,5,8,8,2,1,1,10.64774,2,2,11.59895,4,1,4,3,2,4,4,4,11.99368,3,3,3,3,3,1,3,3,3,11.54563,4,4,2,4,4,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,9.75018,2,2,1,2,2,1,8.34513,2,2,2,2,4,2,1,3,6.78134,2,1,1,3,4,4,10.64149,3,4,1,4,1,2,1,7.97697,2,3,4,3,4,2,2,11.02336,2,3,3,3,3,2,12.59388,4,4,4,4,1,1
1,2,591.95423,3,2,1,1,1,10,3,4,5,4,4,1,5,11.95416,4,4,8.06204,2,1,2,2,3,2,3,3,8.91614,3,3,1,2,3,2,2,1,2,7.64888,3,2,1,2,1,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,11.4451,1,2,1,1,1,1,11.72951,4,4,1,3,3,1,4,4,7.93542,2,2,4,4,3,4,12.25876,4,4,1,4,1,4,2,9.45792,3,3,2,1,4,4,3,7.43006,1,1,2,2,2,2,7.14524,2,2,4,2,0,0
1,1,586.44665,3,2,1,1,1,11,11,4,5,5,2,1,1,11.95416,4,4,11.59895,4,1,3,4,1,4,3,4,10.25429,3,3,2,2,3,2,2,3,2,11.54563,4,4,4,3,3,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,10.14726,1,2,2,2,1,1,12.71112,4,4,1,3,4,1,4,4,12.36856,4,4,4,4,4,4,14.35923,4,4,1,4,1,4,1,9.45792,4,3,4,2,4,3,2,9.69545,2,2,3,3,2,2,12.59388,4,4,4,4,1,1
1,2,483.45555,3,2,1,1,1,9,11,4,5,5,4,1,5,11.46049,3,4,10.96593,4,1,3,3,1,4,3,4,14.71485,3,3,3,3,3,3,3,3,3,11.03019,4,3,3,4,3,999999,999999,1,3,4,3,2,3,2,2,142,10,900,5,0,12.09869,1,1,2,1,1,1,1,1,2,1,2,9.44578,4,4,4,3,3,8.28554,1,2,2,2,3,4,4,4,4,999999,999999,13.16249,1,1,1,1,1,1,1,1,1,1,6.49022,4,1,4,4,4,4,8.81107,4,4,4,1,2,1,3,3,8.78118,1,4,4,4,4,4,9.32033,1,4,1,1,1,4,1,9.02856,4,1,4,4,4,4,4,13.6221,3,3,3,3,3,3,9.18672,4,3,4,4,0,0
