scigrade6,understand,workhard,challenge,choice,makemeth,ownexp,scigrade10,ses,sciach,certsci
4,5,5,6,1,1,1,8,0.195,21.94,0
5,6,6,6,1,1,1,8,1.378,27.71,0
3,4,4,5,1,1,1,6,-0.859,26.66,0
5,4,4,4,1,1,1,8,-1.185,29.17,0
5,3,4,4,1,1,1,7,-1.115,22.12,0
5,3,6,5,1,1,1,7,-1.079,23.68,0
4,6,6,6,1,2,1,5,0.174,28.73,0
5,4,2,5,1,1,1,5,0.304,28.58,0
4,3,5,6,1,1,2,2,-0.776,25.52,0
4,6,6,5,1,1,2,6,0.021,16.99,0
5,6,6,6,1,1,1,1,-1.044,23.92,0
3,3,5,5,1,1,1,4,-1.284,20.98,0
4,2,5,4,1,1,1,5,-0.431,20.7,0
3,3,5,4,1,1,1,3,-0.905,22.54,0
4,2,5,4,1,1,1,3,-0.348,12.63,0
4,3,6,5,1,2,3,5,0.484,11.56,1
5,3,5,6,1,1,2,8,1.378,22.86,0
3,6,6,6,1,1,1,2,-0.843,15.86,1
4,3,6,6,1,1,1,6,-0.242,15.65,1
4,5,5,5,2,1,1,3,-0.25,20.69,1
4,5,6,5,4,2,1,8,-0.204,20.4,1
5,5,6,6,2,1,1,8,-0.125,31.28,1
4,6,6,6,1,1,1,5,-0.277,18.48,1
5,3,5,5,1,1,1,5,-0.836,23.54,0
4,5,4,4,1,1,1,4,0.045,23.3,1
4,4,6,6,1,1,1,7,-0.167,26.26,1
5,4,6,6,1,2,1,5,0.14,18.07,1
4,3,6,5,1,1,1,3,-0.741,23.55,0
5,6,5,5,1,1,1,4,-0.294,22.51,0
4,3,5,6,1,1,1,4,0.251,32.06,0
3,3,4,5,1,1,1,3,0.378,14.25,0
3,4,6,3,1,1,1,8,0.274,23.66,0
4,3,5,5,2,1,1,5,-0.923,20.85,0
2,4,6,5,1,1,1,5,-0.339,17.18,0
3,5,6,6,1,1,1,5,0.477,21.9,0
3,6,5,4,1,3,2,7,-0.25,20.77,0
4,2,6,3,1,1,1,5,-1.482,22.9,0
4,2,4,4,5,1,1,7,-0.192,19.84,1
4,3,5,4,1,1,1,4,0.343,26.63,0
4,5,5,3,1,1,1,7,-0.448,32.44,0
5,5,5,6,1,1,1,7,0.415,26.04,0
5,5,6,6,1,2,1,8,1.253,30.82,0
3,5,5,5,3,3,2,5,0.015,22.52,0
4,5,5,5,3,1,1,4,-0.432,26.23,0
3,5,4,6,4,1,1,7,0.145,26.05,0
4,4,4,5,1,2,2,6,-0.609,22.8,0
4,5,6,5,1,1,1,4,0.101,17.61,0
5,5,6,6,1,1,1,7,-1.044,21.19,0
4,4,4,4,1,1,1,6,-0.137,25.82,0
3,3,3,4,1,2,2,3,0.183,15.9,1
4,5,6,5,1,1,1,7,-0.945,23.51,1
4,2,6,5,1,1,1,7,-0.032,24.63,1
4,6,5,5,1,1,1,5,-0.365,22.59,1
5,5,4,3,2,2,2,8,-0.01,32.85,1
4,5,5,5,2,2,2,6,-0.199,25.15,0
1,3,3,5,1,1,1,2,0.178,16.34,0
2,5,6,5,1,2,1,6,-0.651,18.25,1
4,3,6,4,1,1,1,7,-0.743,19.73,1
3,5,6,5,1,1,1,6,1.077,27.14,1
3,6,6,4,1,1,2,5,-0.211,23.98,1
3,5,5,5,1,1,1,5,-0.365,25.84,1
4,6,6,6,3,2,1,5,-0.459,25.33,1
4,4,5,4,3,1,1,5,0.839,23.02,1
4,6,6,6,1,1,2,5,0.58,30.38,1
4,5,6,5,1,1,4,5,-0.675,22.96,1
4,5,5,5,3,1,1,5,0.123,20.64,0
3,4,6,4,2,1,1,5,-0.457,18.42,1
3,2,6,6,1,1,3,6,-0.837,15.06,0
5,5,5,5,1,1,1,2,0.088,14.19,0
3,6,5,5,1,4,1,3,-0.631,15.55,0
4,6,5,5,1,1,1,5,0.466,15.34,1
5,6,6,6,1,1,1,7,-0.681,15.82,1
3,4,6,6,1,2,1,3,0.145,14.93,0
5,5,2,3,1,1,1,7,0.111,11.53,0
3,3,4,5,1,1,1,1,-1.185,23.6,0
4,3,6,6,3,1,1,6,-1.339,20.94,0
4,5,5,4,1,3,1,7,-0.318,11.9,1
2,4,4,6,1,1,1,1,-0.772,13.95,0
2,3,5,5,3,1,1,2,-1.19,13.63,1
5,6,6,6,1,1,1,7,1.067,26.31,1
5,3,6,6,1,3,1,8,0.733,22.74,0
3,6,5,4,1,2,4,4,0.434,17.69,1
5,4,5,4,1,1,1,8,0.77,34.64,1
5,2,6,6,5,4,3,8,-0.938,21.12,1
5,5,6,5,2,1,2,8,0.239,18.15,1
5,2,4,3,1,1,2,8,0.041,17.35,1
4,5,6,6,1,1,2,4,-0.716,22.47,1
4,5,6,6,1,1,1,8,-1.583,28.15,1
2,4,5,5,1,1,1,1,0.496,30.68,1
