id,schid,getalng,spirit,strict,fair,racefrnd,disrupt,tchgood,tchint,tchprais,putdown,studown,listen,feelsafe,impede,misbehav,private
792381,7923,2,4,3,2,1,1,1,1,2,3,3,2,3,3,4,0
793021,7930,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,0
793394,7933,2,2,1,3,1,1,3,3,3,3,3,2,4,3,2,0
794112,7941,2,3,2,2,2,1,2,2,3,2,2,2,3,2,1,0
798477,7984,2,3,2,2,2,2,3,2,3,3,2,2,3,2,2,0
798490,7984,2,2,1,2,2,2,2,2,3,3,1,2,3,3,2,0
798930,7989,2,2,3,2,2,1,2,2,3,3,4,3,4,2,4,0
889848,8898,2,1,2,2,1,2,2,2,2,3,3,3,3,3,3,0
892432,8924,3,3,1,3,3,3,2,2,2,3,2,1,8,2,3,0
894521,8945,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,0
1401887,14018,3,2,2,2,2,1,2,2,1,3,3,2,3,1,3,0
1430849,14308,2,3,2,2,1,2,1,2,2,4,4,2,4,3,2,0
1437903,14379,2,3,3,2,2,2,2,2,2,3,3,2,4,2,3,0
1460568,14605,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,0
1460590,14605,3,2,4,3,4,2,3,4,3,3,3,3,4,3,2,0
1460591,14605,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,0
1481390,14813,3,2,3,2,2,2,2,3,2,3,2,3,2,2,2,0
1489482,14894,2,2,2,2,2,2,2,2,4,3,3,2,3,3,3,0
1489483,14894,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,0
1495442,14954,2,2,2,1,1,3,2,2,1,3,3,2,4,2,3,0
2406237,24062,2,2,2,2,3,2,2,2,8,3,3,2,3,3,3,0
2413829,24138,3,2,2,2,3,2,1,4,3,3,2,3,4,3,2,0
2413832,24138,3,2,3,2,2,1,2,3,3,3,3,3,3,3,2,0
2413865,24138,2,2,2,1,1,2,2,2,2,4,1,2,4,2,2,0
2413974,24139,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,0
2418205,24182,2,3,2,3,3,2,3,2,2,3,2,2,3,3,2,0
2421617,24216,2,2,3,2,2,1,2,2,3,3,2,2,2,2,2,0
2422560,24225,3,1,1,2,2,2,1,1,2,4,4,1,4,3,4,0
2423237,24232,2,4,3,2,2,3,2,2,2,3,3,3,3,3,3,0
2426947,24269,3,3,1,4,4,2,2,2,3,3,3,3,2,2,2,0
2431584,24315,2,2,2,2,3,2,1,1,1,4,4,2,4,3,2,0
2437608,24376,3,2,1,4,2,2,2,4,3,1,3,3,3,2,1,0
2437699,24376,3,3,2,2,2,1,2,2,1,4,3,1,1,1,3,0
2439034,24390,2,2,1,2,2,2,2,2,2,3,3,3,4,3,1,0
2439060,24390,2,2,1,3,2,3,2,1,1,4,3,2,4,4,3,0
2439087,24390,3,1,2,2,1,2,1,1,2,3,3,2,3,2,4,0
2439432,24394,3,2,3,3,2,1,2,2,3,3,3,3,4,2,3,0
2440852,24408,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,0
2447467,24474,2,1,1,2,2,2,2,3,3,2,3,3,4,3,3,0
2447499,24474,2,2,2,2,2,3,2,2,2,3,2,2,4,4,3,0
2454325,24543,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,0
2457175,24571,2,3,2,3,2,1,2,2,2,3,3,2,3,1,3,0
2457758,24577,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,0
2458967,24589,2,1,2,2,2,3,2,2,3,3,2,2,4,3,3,0
2458992,24589,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,0
2460055,24600,3,1,2,4,2,3,2,2,3,3,4,2,4,2,4,0
2477253,24772,2,2,3,2,2,3,2,2,2,3,3,2,3,3,3,0
2477254,24772,2,1,2,2,2,1,2,2,3,4,3,2,4,4,2,0
2480507,24805,2,1,1,3,2,2,1,1,2,3,3,2,3,1,1,0
2499122,24991,2,3,1,2,2,1,2,2,4,2,3,3,3,3,2,0
2499884,24998,2,2,1,3,1,3,3,2,3,2,3,2,4,3,3,0
2501639,25016,3,1,2,2,2,2,2,2,3,2,2,2,3,1,2,0
2501651,25016,3,3,2,2,2,2,2,2,2,3,3,2,3,2,2,0
2505148,25051,2,2,3,3,2,2,2,3,2,3,3,3,3,2,3,0
2506750,25067,2,2,2,3,1,3,1,4,2,4,4,1,4,3,3,0
2506795,25067,3,4,2,2,3,3,3,2,3,2,2,3,4,3,2,0
2509573,25095,4,6,8,3,2,2,3,3,2,2,2,2,3,2,2,0
2510570,25105,2,1,2,2,2,3,1,2,2,4,3,2,4,3,3,0
2510741,25107,2,1,3,2,3,3,1,1,2,4,4,1,4,3,4,0
2512246,25122,2,3,2,2,1,3,2,2,1,3,3,2,4,1,2,0
2512253,25122,2,2,1,2,2,3,2,1,2,4,3,2,4,1,4,0
2513081,25130,3,2,1,1,2,2,2,2,2,4,3,1,3,2,3,0
2513396,25133,2,2,1,1,1,3,1,1,2,4,4,2,4,3,4,0
2516381,25163,3,2,3,2,2,1,2,3,2,3,3,2,3,1,2,0
2517320,25173,2,2,2,2,1,3,1,1,3,4,3,2,1,3,3,0
2517374,25173,3,6,1,2,8,2,8,3,8,4,8,2,4,8,2,0
2517868,25178,2,2,2,2,1,1,2,2,2,4,3,2,4,3,3,0
2522499,25224,2,1,2,2,1,2,1,2,2,4,4,2,4,4,3,0
2525676,25256,2,2,2,2,3,2,2,2,3,3,3,2,3,3,3,0
2526103,25261,2,2,3,2,1,2,2,2,2,3,4,2,4,3,3,0
2528007,25280,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
2528056,25280,4,2,1,4,1,1,4,4,4,1,4,4,4,4,4,0
2531375,25313,2,2,3,3,2,2,2,2,2,4,4,2,4,4,2,0
2536010,25360,3,3,1,3,1,2,3,3,3,3,3,3,3,4,3,0
2536041,25360,1,2,3,3,2,2,2,3,3,3,3,2,3,2,2,0
2536042,25360,2,2,3,2,2,2,3,2,2,3,3,3,3,2,2,0
2536093,25360,2,3,1,3,2,2,3,3,3,2,3,2,2,3,2,0
2536160,25361,2,2,2,2,3,3,1,2,2,4,2,2,4,3,2,0
2536669,25366,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,0
2540213,25402,2,3,2,2,1,2,2,3,2,4,4,2,1,8,2,0
2540251,25402,3,2,2,1,2,1,1,1,2,4,2,1,4,1,4,0
2540487,25404,2,3,3,3,1,2,2,2,1,4,3,2,4,3,2,0
2544147,25441,2,1,3,2,3,2,2,2,3,3,3,2,4,3,3,0
2545445,25454,2,3,1,3,3,3,2,2,2,3,3,2,3,3,3,0
2550629,25506,2,1,3,2,1,2,1,1,2,4,4,2,4,3,2,0
2550668,25506,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,0
2552083,25520,2,2,3,2,1,1,2,2,2,3,3,2,4,3,3,0
2553042,25530,2,2,3,2,1,2,2,2,2,3,2,2,3,3,3,0
2553611,25536,2,6,3,2,2,3,2,2,2,3,3,2,2,3,3,0
2553639,25536,2,2,3,2,2,2,2,3,3,2,2,3,3,1,2,0
2553650,25536,2,3,2,3,2,2,2,2,2,4,4,1,3,2,2,0
2553679,25536,3,3,3,3,2,3,3,2,2,4,3,2,4,3,2,0
2561822,25618,2,3,2,3,2,2,2,2,3,2,3,3,3,2,2,0
2564284,25642,3,2,2,2,2,1,2,2,1,4,4,8,3,1,1,0
2564439,25644,2,2,3,2,2,2,3,2,2,3,3,3,3,2,2,0
2564472,25644,3,1,1,3,4,2,2,1,1,4,4,3,4,1,4,0
2564517,25645,2,3,2,3,2,2,2,3,3,3,3,3,4,3,3,0
2564551,25645,2,3,2,1,2,2,1,2,3,4,1,3,4,4,3,0
2564585,25645,2,4,1,6,2,1,2,2,1,4,3,1,4,4,2,0
2566676,25666,2,3,3,2,2,2,2,2,2,3,3,3,2,2,2,0
2566708,25667,2,2,3,1,1,3,1,2,2,4,4,2,4,2,3,0
2566711,25667,3,2,2,1,2,2,2,2,3,4,4,2,3,2,1,0
2574515,25745,2,3,3,2,4,2,2,2,2,4,4,2,3,1,2,0
2574564,25745,2,2,2,2,3,2,2,2,2,3,3,2,3,1,3,0
2576506,25765,2,2,1,3,2,2,2,2,2,3,3,2,3,3,2,0
2576529,25765,2,1,2,3,2,2,2,2,2,3,3,2,3,2,3,0
2577982,25779,2,3,3,2,3,1,2,2,3,3,4,3,3,2,2,0
2580418,25804,2,1,2,2,1,3,2,2,2,3,3,2,4,3,3,0
2581435,25814,3,1,2,1,2,3,3,2,3,4,4,2,4,4,3,0
2582596,25825,2,2,2,2,2,3,2,2,2,3,3,2,3,2,3,0
2583469,25834,2,1,2,2,2,1,2,2,2,3,3,2,3,2,1,0
2583573,25835,3,2,2,3,2,1,2,3,2,2,3,3,3,2,1,0
2583611,25836,2,2,1,3,1,3,2,2,2,4,8,1,4,3,3,0
2589465,25894,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,0
2589499,25894,1,2,1,2,1,1,1,2,3,4,1,1,4,3,3,0
2591996,25919,2,3,1,3,3,2,1,2,4,3,4,3,3,2,2,0
2593458,25934,2,1,2,3,2,3,2,2,2,3,4,2,4,4,3,0
2598333,25983,2,2,1,3,2,3,2,2,2,4,3,2,3,2,2,0
2599037,25990,3,4,3,2,2,4,4,4,3,2,3,4,3,3,2,0
2599589,25995,2,2,3,2,2,3,2,2,2,3,3,3,4,3,3,0
2935785,29357,2,3,2,2,3,2,2,2,1,3,2,2,3,2,1,0
2954515,29545,2,1,2,2,1,4,2,2,2,2,3,3,4,4,2,0
4503617,45036,2,2,2,2,2,2,2,2,1,3,3,2,4,3,3,0
4506408,45064,2,2,3,3,2,3,2,3,2,3,3,4,4,1,1,0
4506461,45064,2,2,3,2,1,1,2,2,2,4,4,2,3,2,2,0
4506479,45064,1,2,3,2,2,2,2,2,2,4,3,2,4,3,3,0
4511079,45110,2,2,2,2,2,1,2,2,2,3,3,2,3,3,1,0
4512759,45127,2,2,3,2,1,2,2,2,2,3,3,2,3,2,3,0
4513272,45132,2,2,3,2,8,1,2,2,3,4,4,2,4,4,2,0
4513445,45134,2,1,2,2,1,2,3,3,3,3,3,2,4,3,2,0
4516948,45169,2,3,2,2,2,2,3,2,2,3,3,2,3,3,3,0
4516960,45169,3,2,2,3,1,2,3,2,3,3,2,2,3,2,2,0
4518397,45183,2,3,2,2,2,2,2,2,3,3,3,2,4,2,3,0
